seite;speerName;produkt;quelle;kartenname
616;Ackermann Fahrzeugbau;Fahrzeuge und Karosserien;;Ackermann Fahrzeugbau
616;AG für Bergwerksbedarf;Wälzlager, Gleitlager für Flak- und Panzerprogramm, Maschinenteile für den Bergbau;RWWA 22-349-6;AGEB - Aktiengesellschaft für Bergwerksbedarf
616;G. & R. Alvermann;Flügelschäfte für 8 cm Wgr. 34;RWWA 22-28-10;G. & R. Alvermann
616;Carl Bauer;hochfeste Schrauben für Flugzeuge und Panzer (eigene Auskunft);SAW, Bauakten, Nachtigallenweg;Carl Bauer
616;I.G. Farbenindustrie (vorm. Friedrich Bayer);"Arzneimittel lt. Brandt-Programm; chem.-techn. Produkte: Lackrohstoffe, Vorprodukte für PSV, Vulkanisierungsbeschleuniger für Buna";RWWA 22-349-6;I.G. Farbenindustrie AG Werk Elberfeld
616;Muttern- und Schraubenfabrik Karl Becker;"Schrauben, Muttern u. Fassondrehteile für HochleistungsFlugzeuge, Flak, LKW, Panzerwagen, Faustpatronen, U-Bootbau (Führer-Notprogramm); Schrauben, Muttern u. Fassondrehteile für zivile Fertigung";RWWA 22-349-6;Karl Becker
616;J.P. Bemberg AG;Fallschirmseide;;J. P. Bemberg AG.
616;Bemetallwerke GmbH;Stahlhülsen;RWWA 22-28-12;Bemetall-Werk GmbH
616;Berns, Ferdinand;Beschlagteile für Flugzeuge, Beschlagteile für Infanterie-Sturmgeschütze ;RWWA 22-349-6;Ferdinand Berns
616;Robert Birkelbach GmbH;Wellen für Seitenrichtmaschine Schwere Flak 8,8 cm;;Robert Birkelbach GmbH
616;Erich Birker;Unterkunftsgerät;RWWA 22-28-12;
616;Gebr. Birker;Schmiedestücke für Fahrzeugbau, Holzbearbeitungswerkzeuge;RWWA 22-349-6;Gebrüder Birker
616;Fahrradwerke Bismarck AG;"Munition 7,5 cm Gr. 38, Aufschlagzünder; Zünder K. A. Z. 23 (Rüstungs-Notprogramm)";RWWA 22-28-10, RWWA 22-349-6;Fahrradwerke Bismarck A.G.
616;Block & Vaupel;Jäger-Programm;RWWA 22-28-12;Block & Vaupel
616;C. Blumhardt;Sonderanhänger für Flakprogramm;RWWA 22-349-6;C. Blumhardt
616;Bocklenberg & Motte (Bomoro);"Schlösser für Panzerprogramm und für Zug- und Schlepp-Kiz; Schlösser u. Beschläge für Kfz-Programm (z. T. Flak- u. Infanterieorg.), Schlösser u. Beschläge für Flugzeuge";RWWA 22-349-6;Bocklenberg & Motte (BOMORO)
616;Hermann Boldt;Junkers 88-Programm;RWWA 22-28-12;
616;Gebrüder Brill;"Bearbeitung von Geschossen (Sperrwaffen); U-Boot-Armaturen; Guß-Halbzeugzulieferartikel";RWWA 22-28-1, RWWA 22-349-6;Gebr. Brill
616;Brünninghausen & Co.;Teile für Flugzeugmotoren;RWWA 22-28-12;
616;de Bruyn, Werner, Uhrmachermeister;Fertigung von Borduhren, Produktion innerhalb des Fertigungsringes N 9, Leitung Helmut Junghans, Schramberg Württbg.;BundesA-MA: RL 3 — 1666;
616;D. Budde;Gas- und Atemgerät;RWWA 22-28-12;
617;C. Buker;Werkstofflieferant für Infanterie-Rüstungsprogramm sowie Infanteriemunition zu MP 43;RWWA 22-28-10;
617;Alfred vom Cleff;"Schrauben und Spezialschrauben für Fahrzeug-, Waggon- und Barackenbau, Bergbau und landwirt. Maschinen; Notprogramm Flakmunition";RWWA 22-349-6;Alfred vom Cleff
617;J. vom Cleff A. Sohn;Schrauben und Muttern für Flak, Generatoren, Munition und U-Boote;RWWA 22-349-6;J. vom Cleff A. Sohn Schraubenfabrik
617;Erich Clerck;"Aufbauten von LKW für Fordwerke Köln; Generator-Law (Sonderauftrag des Führerhauptquartiers); Sattelschlepper-Zugmaschinen mit Generator-Antrieb für d. Transportkorps Speer; Krankenwagen für das DRK ";"SAW, Bauakten, Bhf. Cronenberg; RWWA 22-349-6";Erich Clerck
617;Alexander Dahl, Lederfabrik;"Flugzeugbezüge; Pioniersturmgepäcke; Koppeltragegestelle; Patronentaschen";RWWA 22-349-6;
617;Carl Döhl Söhne, Werkzeugfabrik;"Werkzeuge für Flugzeugklempner, Blechschmiede und -schlosser; Aufträge der Reichsbahn u.d. Rüstungsindustrie (Fliegerschäden);";RWWA 22-349-6;
617;Paul Eigenbrodt;"Kistenfabrikation für Wehrmacht, Jäger- und Heimatschutzprogramm, für Blitzprogramm, für Brandt-Programm, für Proviantabwurf und Bombenmassenabwurf;";RWWA 22-349-6;Paul Eigenbrodt
617;Elberfelder Papierfabrik AG;Minen;RWWA 22-349-6;Elberfelder Papierfabrik AG
617;Elspermann & Jäger;Panzerwagen;RWWA 22-28-12;
617;Epeda-Werk Rudolf Platte;Flügelschäfte 8 cm Wgr. 34;RWWA 22-28-12;Epeda-Werke Rudolf Platte
617;Flugzeugbau G. Espenlaub;Flugzeugreparaturen, Teileproduktion;RWWA 22-349-6;Gottlob Espenlaub
617;Fahrzeugbau Ed. Eylert;Kraftfahrzeuge und Anhänger;RWWA 22-349-6;Eduard Eylert
617;Gebr. Fleuss;Gesenkschmiedeerzeugnisse für Rüstungs-Notprogramm und SS 4900;RWWA 22-349-6;Gebr. Fleuss
617;M. Flues & Co.;Techn. Chromleder für Wehrmachtszwecke, für Wasserbauämter, für den Bergbau und für die Reichsbahn;RWWA 22-349-6;M. Flues & Co.
617;Hugo Freund;Schlosser- und Maurerhämmer für Zi SS und Fliegerschäden;RWWA 22-349-6;
617;Heinrich Frickenhaus;"Phosphatierung für Munitionsteile für Flak-, Minen- u. sonstige Geschoßzünder; Phosphatierung von Munitionsteilen f. Leuchtmunition; Ausrüstung von Materialien für Ordensbänder";RWWA 22-349-6;Heinrich Frickenhaus
617;Frölich & Klüpfel;Maschinen und Einrichtungen für den Bergbau;RWWA 22-349-6;Frölich & Klüpfel
617;Gebhard & Co. AG;"Schwingarmlager für Panzer; Radnaben für Wehrmachtsfahrzeuge; mitlaufende Körnerspitzen; Umkehrkrümmer für Geilenberg-Programm; T-Stützen";RWWA 22-349-6;
617;August Görts KG;"Hohlladungsgeschosse; Bauklammern für Pioniergerät; Drehteile für 8,8 cm Brennschrapnell; Einzelteile für Flakmunition; Nieten für Wehrmacht, Bergbau, Reichbahn sowie für das Gerät VG; Laschen für Pioniergerät; Eisenwaren für Mindestbauprogramm und Fliegerschäden";"RWWA 22-28-12; RWWA 22-349-6";August Görts KG
617;Graef & Kunhenn;"Jäger-Programm; Sägeblätter für Hand- u. für Spezialsägen; Rüstungsnot-Programm";"RWWA 22-28-12; RWWA 22-349-6";Graef & Kunhenn
617;Grote & Hartmann;Kabelschuhe;RWWA 22-28-10;
617;Gutehoffnungshütte AG;Sinterdolomit für Martinwerke, Thomasstahlwerke, u. Giessereien der GHH AG Oberhausen;RWWA 22-349-6;Gutehoffnungshütte AG Oberhausen [Dolomit-Steinbruch Lüntenbeck]
617;Carl de Haas, Garnfärberei;Garnfärberei-Wehrmachtsaufträge, für RLM und für Flak-Programm;RWWA 22-349-6;
617;Halbach & Meister;"Vergütungs- u. Härtearbeiten für Panzerschreck und Panzerfaust; für Panzer-Lenkgetriebe u. a. Panzerfertigungen; für Flugzeugmotoren und andere Luftwaffenfertigungen; Gerät G T 20 Fat für Marinefertigung; verschiedene Rüstungsfertigungen (z. T. Rüstungs-Notprogramm)";RWWA 22-349-6;
617;Halstenbach & Co.;"Einzelteile für Zielgeräte und Teile für Volksgewehr (Führer-Notprogramm; autom. Spulmaschinen, Ersatzteildienst";RWWA 22-349-6;Halstenbach & Co.
617;Hamba-Maschinenfabrik Hans A. Müller;"Teile für Hochleistungsflugzeuge (Rüstungs-Notprogramm); Teile für Handfeuerwaffen und Volksgewehr";RWWA 22-349-6;Hamba Hans A. Müller GmbH & Co. KG
617;Hansa-Werk Gustav Rafflenbeul bzw. E. Berning;"Pendellager, Gleitlager, Hebel und Naben für Bedienungsanlagen (Jägerprogramm, Führer-Notprogramm); Kleinmetallwaren, Knöpfe, Drahtverschnürungen (indirekter Wehrmachtsbedarf und kriegswichtiger Inlandsbedarf)";RWWA 22-349-6;Gustav Rafflenbeul, Schwelm [=Hansa-Werk und Raffawerk Gustav Rafflenbeul]
617;Gebrüder Happich GmbH;Ausrüstungsteile für Fahrzeugaufbauten einschl. Kettenund Halbketten-Fahrzeuge (Panzer);;Gebr. Happich GmbH
617;Albert Hasselkus;Hasselkus-Fangbänder;RWWA 22-28-12;Albert Hasselkus
617;Hecker, Theodor, Uhrmachermeister;Fertigung von Borduhren, Produktion innerhalb des Fertigungsringes N. 9, Leitung Helmut Junghans, Schramberg Württbe;BundesA-MA: RL 3 – 1666;
617;Hein, Werner;Zulieferteile für Rheinmetall, Borsig, Krupp, Junkers, Leunawerke. — Entwicklung und Beschaffung schwerster Abwurfmunition (Y-Progr.);HStAD: Gerichte Rep. 92/149;
617;Carl Helsper;Werkzeuge, Axte und Beile (Zi-SS 4900-4950);RWWA 22-349-6;Carl Helsper
617;Hermann Hemscheidt;"Stoßdämpfer für Panzerwaffe: Panzer III, Tiger, Panther (Führer-Notprogramm); Teile für Volksgewehr-Aktion; Zulieferungen für Panzerjäger und Panzerkampfwagen; Bergbauzubehör";RWWA 22-28-12, RWWA 22-349-6;Hermann Hemscheidt
618;Dr. Kurt Herberts;Anstrichstoffe für Fahrzeuge der Luftwaffe und Marine, Tarnfarbe für Bunker;Bundes-MA: RL 3 — 160 BundesA-MA: RL 3 — 160 Stolzenbach, H.: Von der Arbeit im Sudhaus zur Lackchemie;Dr. Kurt Herberts & Co.
618;Wilhelm Hermes KG;zweiteilige Kabinen für Flugzeug Me 109;BundesA-MA: RW 21-16/15, RW 21-16/16;Wilhelm Hermes KG
618;Ernst Herzog;Färben und Appretieren von Garnen: für Fliegerreißverschlußband, für Wehrmachtseinheitstuch, für Militäreffekte, für Wehrmachtshosenband, für Ziviltuche;RWWA 22-349-6;
618;Gebr. Hilgeland;"führend in der Herstellung von Maschinen zu Schraubenherstellung in der Flugmotorenindustrie; Kugellager-Schnellaktion Keßler; Gewindefeinwerkzeuge u. Ersatzteile";BundesA-MA: RW 21-16/1, RWWA 22-349-6;Gebr. Hilgeland
618;Hindrichs-Auffermann;"Infanterie-Munition und Pistolen, Flugzeuge und Panzer [-teile), Lagerbüchsen; Gerät SD 2: es handelt sich um 2 kg-Bomben, die in großen Mengen auf lebende Ziele abgeworfen werden und in der Luft über dem Ziel krepieren.";RWWA 22-28-12, RWWA 22-28-10, BundesA-MA RW 21-16/3;Hindrichs-Auffermann A.G.
618;Homann-Werke W. Homann;"Abwurfbehälter, Blitzlichtbombe VI C 50, 15 cm Granate, Schützen-Min[e] 35; wesentliche Teile des Hochleistungsflugzeuges Me 262 (Führer-Notprogramm);";"BundesA-MA RW 21-16; RWWA 22-349-6";Homann-Werke Wilhelm Homann
618;Hüsecken, Holzrichter & Co., Kaltwalzwerk;Bandstahl, kalt gewalzt u. lackiert für Munitionsprogramm (Führer-Notprogramm, SS. 4924);RWWA 22-349-6;Hüsecken, Holzrichter & Co.
618;Hund & Lauterbach;Brandschrapnell 8,8;RWWA 22-28-12 ;
618;Theodor Imhäuser;Axte und Beile für die Wehrmacht, die Organisation Todt, Reichsarbeitsdienst, Fliegerschäden und für sonstige Kriegsauflagen-Programme.;"SAW, Gebäudeakten, Theishahner Str. 44/46; RWWA 22-349-6";
618;Fritz Imhof;"Herstellung von Grauguß für den Maschinen- und Spezialwerkzeugmaschinenbau (SS. 4900 W — SS 4950; Zi; O; I; Führer-Notprogramm)";RWWA 22-349-6;
618;Gebrüder Itter;Herstellung von Kneif- und Monierzangen und dto. Rohlingen für den direkten und indirekten Wehrmachtsbedarf (div. Programme);RWWA 22-349-6;Gebr. Itter
618;G. & J. Jaeger;Rollen-, Nadel- und Kugellager als Zulieferartikel;RWWA 22-349-6;G. & J. Jaeger GmbH
618;Hermann P. Jung;Forstwerkzeug für die Gewinnung von Generatorholz (Rüstungs-Notprogramm);RWWA 22-349-6;P. Hermann Jung
