nr;unternehmen;industriezweig;industriezweigSpeer;existiertHeute;standortNr;adresse;ort;stadtteil;adresseHeute;laenge;breite;verortung;verortungHinweis;speerSeite;datum;datumVon;datumBis;zwangsarbeiterart;gesamt;maennlich;weiblich
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;13.8.1942;1942-08-13;1942-10-28;Ostarbeiter;50;49;1
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;28.10.1942;1942-10-28;1943-04-27;Ostarbeiter;38;37;1
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;27.4.1943;1943-04-27;1944-01-31;Ostarbeiter;30;29;1
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;27.4.1943;1943-04-27;1945-05-08;Franzosen;5;;
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;27.4.1943;1943-04-27;1945-05-08;Belgier;5;;
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;31.1.1944;1944-01-31;1944-06-30;Deutsche;196;185;11
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;31.1.1944;1944-01-31;1944-06-30;Westarbeiter;20;18;2
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;31.1.1944;1944-01-31;1944-03-11;Ostarbeiter;64;57;7
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;11.3.1944;1944-03-11;1944-06-30;Ostarbeiter;80;76;6
54;Ackermann Fahrzeugbau;Kraftfahrzeugindustrie;Fahrzeugbau;ja;1;Vohwinkeler Str. 87-93;Vohwinkel;Vohwinkel;;7.0439975;51.2165487;strassengenau;;514;30.6.1944;1944-06-30;1944-12-31;Deutsche;198;186;12
