Nr.,Unternehmen,StandortNr,Adresse,Ort,volladresse
54,Ackermann Fahrzeugbau,1,Vohwinkeler Str. 87-93,Vohwinkel,"Vohwinkeler Str. 87, Vohwinkel, Deutschland"
55,Jack Adams,1,Heckinghauser Str. 75,Barmen,"Heckinghauser Str. 75, Barmen, Deutschland"
56,Dr. Albert Alteköster vorm. „Almag AG“,1,Buchenhofener Str. 1,Sonnborn,"Buchenhofener Str. 1, Vohwinkel, Deutschland"
57,G. & R. Alvermann,1,Heckinghauser Str. 43 A,Barmen,"Heckinghauser Str. 43 A, Barmen, Deutschland"
58,Georg Arends,1,Monschaustr. 74 A,Ronsdorf,"Monschaustr. 74 A, Ronsdorf, Deutschland"
59,Ludwig Attin,1,Wasserstraße 15,Barmen,"Wasserstraße 15, Barmen, Deutschland"
60,Oswald Attin,1,Warndstraße 4,Barmen,"Warndtstraße 4, Barmen, Deutschland"
61,Autohaus GmbH,1,Leimbacherstr. 85-87,Barmen,"Leimbacherstr. 85, Barmen, Deutschland"
62,J. L. Bacon,1,Hofaue 4,Elberfeld,"Hofaue 4, Elberfeld, Deutschland"
63,Carl Beier,1,Oberheidter Str. 67,Cronenberg,"Oberheidter Str. 67, Cronenberg, Deutschland"
64,Bangert & Co. „Klinker- und Ziegelwerk Uhlenbruch“,1,Uhlenbruch 4,Nächstebreck,"Uhlenbruch 4, Nächstebreck, Deutschland"
65,Barmer Maschinenfabrik KG,1,Mohrenstr. 12-28,Barmen,"Mohrenstr. 12, Barmen, Deutschland"
66,Bastfaser GmbH,1,Auf der Bleiche 43,Barmen,"Auf der Bleiche 43, Barmen, Deutschland"
67,Carl Bauer,1,Solinger Str. 28,Cronenberg,"Solinger Str. 28, Cronenberg, Deutschland"
68,I.G. Farbenindustrie AG Werk Elberfeld,1,Friedrich-Ebert-Straße 217-333,Elberfeld,"Friedrich-Ebert-Straße 217, Elberfeld, Deutschland"
69,Karl Becker,1,Berghauser Str. 110-118,Cronenberg,"Berghauser Str. 110, Cronenberg, Deutschland"
70,Gebr. Becker,1,Gennebrecker Str. 8,Wichlinghausen,"Gennebrecker Str. 8, Wichlinghausen, Deutschland"
71,Ernst Beckmannshagen,1,Spitzenstr. 15,Langerfeld,"Spitzenstr. 15, Langerfeld, Deutschland"
72,Wilhelm Beiersmann,1,Regentenstr. 49,Langerfeld,"Regentenstr. 49, Langerfeld, Deutschland"
73,Belzer-Werk,1,Hastener Str. 4,Cronenberg,"Hastener Str. 4, Cronenberg, Deutschland"
74,J. P. Bemberg AG.,1,Oehder Str. 14-28,Barmen,"Öhder Str. 14, Wuppertal, Deutschland"
75,Bemetall-Werk GmbH,1,Thüringer Str. 9,Barmen,"Thüringer Str. 9, Wuppertal, Deutschland"
